Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated,dis,Cases__str,Deaths__str,Killed and disposed of__str,New outbreaks__str,Slaughtered__str,Susceptible__str,Vaccinated__str,Outbreaks,Killed_disposed,rowtype,Semester_half,AdminDiv_raw,State_Clean,Geo_cleaning_action,AdminDiv
2007,Jan-Jun 2007,Africa,Nigeria,Adamawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,394.0,Animal,,-,0.0,157.0,0.0,HPAI,-,157,-,-,0,394,0,,,animal_record,Jan-Jun,Adamawa,Adamawa,Unchanged (already a state-level value),Adamawa
2007,Jan-Jun 2007,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jan-Jun,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2007,Jan-Jun 2007,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,15852.0,Animal,,-,0.0,,0.0,HPAI,-,-,-,-,0,15852,0,,,animal_record,Jan-Jun,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2007,Jan-Jun 2007,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,7,,-,,-,,,,HPAI,-,-,-,7,-,-,-,7.0,,outbreak_row_BOTH,Jan-Jun,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2007,Jan-Jun 2007,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,1356.0,Animal,,-,0.0,286.0,0.0,HPAI,-,286,-,-,0,1356,0,,,animal_record,Jan-Jun,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2007,Jan-Jun 2007,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jan-Jun,Borno,Borno,Unchanged (already a state-level value),Borno
2007,Jan-Jun 2007,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,300.0,Animal,200.0,140,0.0,160.0,0.0,HPAI,200,160,140,-,0,300,0,,140.0,animal_record,Jan-Jun,Borno,Borno,Unchanged (already a state-level value),Borno
2007,Jan-Jun 2007,Africa,Nigeria,Edo,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jan-Jun,Edo,Edo,Unchanged (already a state-level value),Edo
2007,Jan-Jun 2007,Africa,Nigeria,Edo,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,6125.0,Animal,,-,0.0,4000.0,0.0,HPAI,-,4000,-,-,0,6125,0,,,animal_record,Jan-Jun,Edo,Edo,Unchanged (already a state-level value),Edo
2007,Jan-Jun 2007,Africa,Nigeria,Enugu,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jan-Jun,Enugu,Enugu,Unchanged (already a state-level value),Enugu
