block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,header_animal_category,new_outbreaks
2011|Jan-Jun 2011|Osun|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Osun,Osun,Both animal categories,1.0
2012|Jan-Jun 2012|Benue|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Benue,Benue,Both animal categories,1.0
2012|Jan-Jun 2012|Ekiti|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Ekiti,Ekiti,Both animal categories,1.0
2012|Jan-Jun 2012|Imo|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Imo,Imo,Both animal categories,2.0
2012|Jan-Jun 2012|Kogi|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Kogi,Kogi,Both animal categories,1.0
2012|Jan-Jun 2012|Taraba|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Taraba,Taraba,Both animal categories,1.0
2012|Jul-Dec 2012|Bauchi|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Bauchi,Bauchi,Both animal categories,2.0
2012|Jul-Dec 2012|Bauchi|Rabies|RABV;not typed,2012,Jul-Dec 2012,Rabies,RABV;not typed,state,Bauchi,Bauchi,Both animal categories,2.0
2012|Jul-Dec 2012|Cross River|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Cross River,Cross River,Both animal categories,3.0
2012|Jul-Dec 2012|Ekiti|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Ekiti,Ekiti,Both animal categories,1.0
2012|Jul-Dec 2012|Kaduna|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Kaduna,Kaduna,Both animal categories,1.0
2012|Jul-Dec 2012|Kogi|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Kogi,Kogi,Both animal categories,1.0
2012|Jul-Dec 2012|Niger|Trypanosomosis|,2012,Jul-Dec 2012,Trypanosomosis,,state,Niger,Niger,Both animal categories,1.0
2012|Jul-Dec 2012|Osun|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Osun,Osun,Both animal categories,1.0
2012|Jul-Dec 2012|Plateau|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Plateau,Plateau,Both animal categories,2.0
2013|Jan-Jun 2013|Anambra|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Anambra,Anambra,Both animal categories,1.0
2013|Jan-Jun 2013|Ekiti|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Ekiti,Ekiti,Both animal categories,1.0
2013|Jan-Jun 2013|Enugu|Trypanosomosis|,2013,Jan-Jun 2013,Trypanosomosis,,state,Enugu,Enugu,Both animal categories,3.0
2013|Jan-Jun 2013|Imo|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Imo,Imo,Both animal categories,1.0
2013|Jan-Jun 2013|Kaduna|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Kaduna,Kaduna,Both animal categories,1.0
2013|Jan-Jun 2013|Niger|Trypanosomosis|,2013,Jan-Jun 2013,Trypanosomosis,,state,Niger,Niger,Both animal categories,5.0
2013|Jan-Jun 2013|Osun|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Osun,Osun,Both animal categories,2.0
2013|Jan-Jun 2013|Plateau|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Plateau,Plateau,Both animal categories,12.0
2013|Jul-Dec 2013|Ekiti|Rabies|not typed,2013,Jul-Dec 2013,Rabies,not typed,state,Ekiti,Ekiti,Both animal categories,2.0
2013|Jul-Dec 2013|Niger|Rabies|not typed,2013,Jul-Dec 2013,Rabies,not typed,state,Niger,Niger,Both animal categories,1.0
2013|Jul-Dec 2013|Niger|Trypanosomosis|,2013,Jul-Dec 2013,Trypanosomosis,,state,Niger,Niger,Both animal categories,3.0
2013|Jul-Dec 2013|Plateau|Rabies|not typed,2013,Jul-Dec 2013,Rabies,not typed,state,Plateau,Plateau,Both animal categories,10.0
2014|Jan-Jun 2014|Niger|Trypanosomosis|,2014,Jan-Jun 2014,Trypanosomosis,,state,Niger,Niger,Both animal categories,3.0
2014|Jan-Jun 2014|Osun|Rabies|,2014,Jan-Jun 2014,Rabies,,state,Osun,Osun,Both animal categories,1.0
2014|Jan-Jun 2014|Plateau|Rabies|,2014,Jan-Jun 2014,Rabies,,state,Plateau,Plateau,Both animal categories,5.0
2014|Jul-Dec 2014|Nigeria|HPAI|H5 (N untyped),2014,Jul-Dec 2014,HPAI,H5 (N untyped),national,Nigeria,Nigeria,Both animal categories,1.0
2014|Jul-Dec 2014|Osun|Rabies|,2014,Jul-Dec 2014,Rabies,,state,Osun,Osun,Both animal categories,2.0
2014|Jul-Dec 2014|Plateau|Rabies|,2014,Jul-Dec 2014,Rabies,,state,Plateau,Plateau,Both animal categories,1.0
2015|Jan-Jun 2015|Bauchi|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Bauchi,Bauchi,Both animal categories,5.0
2015|Jan-Jun 2015|Delta|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Delta,Delta,Both animal categories,1.0
2015|Jan-Jun 2015|Edo|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Edo,Edo,Both animal categories,1.0
