block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,animal_category,species,measuring_units,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated,all_counts_missing
2011|Jan-Jun 2011|Cross River|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Cross River,Cross River,Domestic,Dogs,Animal,5.0,5.0,3.0,0.0,2.0,0.0,False
2011|Jan-Jun 2011|Ebonyi|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Ebonyi,Ebonyi,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,0.0,False
2011|Jan-Jun 2011|Gombe|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Gombe,Gombe,Domestic,Dogs,Animal,152.0,8.0,4.0,0.0,4.0,0.0,False
2011|Jan-Jun 2011|Gombe|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Gombe,Gombe,Domestic,Cattle,Animal,20.0,1.0,0.0,0.0,1.0,0.0,False
2011|Jan-Jun 2011|Niger|Trypanosomosis|,2011,Jan-Jun 2011,Trypanosomosis,,state,Niger,Niger,Domestic,Cattle,Animal,30.0,7.0,0.0,0.0,0.0,,False
2011|Jan-Jun 2011|Osun|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Osun,Osun,Domestic,Dogs,Animal,1.0,1.0,1.0,0.0,0.0,0.0,False
2012|Jan-Jun 2012|Benue|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Benue,Benue,Domestic,Dogs,Animal,1.0,1.0,1.0,0.0,0.0,0.0,False
2012|Jan-Jun 2012|Ekiti|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Ekiti,Ekiti,Domestic,Dogs,Animal,100.0,1.0,1.0,0.0,0.0,0.0,False
2012|Jan-Jun 2012|Imo|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Imo,Imo,Domestic,Dogs,Animal,2.0,2.0,2.0,0.0,0.0,0.0,False
2012|Jan-Jun 2012|Kogi|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Kogi,Kogi,Domestic,Dogs,Animal,30.0,1.0,1.0,0.0,0.0,0.0,False
2012|Jan-Jun 2012|Taraba|Rabies|,2012,Jan-Jun 2012,Rabies,,state,Taraba,Taraba,Domestic,Dogs,Animal,1.0,1.0,1.0,0.0,0.0,0.0,False
2012|Jul-Dec 2012|Bauchi|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Bauchi,Bauchi,Domestic,Dogs,Animal,1575.0,1575.0,125.0,0.0,78.0,0.0,False
2012|Jul-Dec 2012|Bauchi|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Bauchi,Bauchi,Domestic,Cattle,Animal,,,,,,,True
2012|Jul-Dec 2012|Bauchi|Rabies|RABV;not typed,2012,Jul-Dec 2012,Rabies,RABV;not typed,state,Bauchi,Bauchi,Domestic,Cattle,Animal,31.0,6.0,0.0,4.0,2.0,0.0,False
2012|Jul-Dec 2012|Bauchi|Rabies|RABV;not typed,2012,Jul-Dec 2012,Rabies,RABV;not typed,state,Bauchi,Bauchi,Domestic,Dogs,Animal,,1.0,1.0,0.0,0.0,,False
2012|Jul-Dec 2012|Cross River|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Cross River,Cross River,Domestic,Dogs,Animal,,3.0,0.0,0.0,3.0,0.0,False
