Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2006,Jul-Dec 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,86,Animal,86,37,0,49,0
2006,Jul-Dec 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,119,Animal,100,19,0,100,0
2007,Jan-Jun 2007,Africa,Nigeria,"Adamawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,6,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Adamawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,394,Animal,-,-,0,157,0
2007,Jan-Jun 2007,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,15852,Animal,-,-,0,-,0
2007,Jan-Jun 2007,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,7,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1356,Animal,-,-,0,286,0
2007,Jan-Jun 2007,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,300,Animal,200,140,0,160,0
2007,Jan-Jun 2007,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,6125,Animal,-,-,0,4000,0
2007,Jan-Jun 2007,Africa,Nigeria,"Enugu","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Enugu","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,500,Animal,500,0,0,500,0
2007,Jan-Jun 2007,Africa,Nigeria,"Federal Capital Territory","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Federal Capital Territory","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,40,Animal,40,-,0,35,0
2007,Jan-Jun 2007,Africa,Nigeria,"Jigawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Jigawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,14057,Animal,50,0,0,3061,0
2007,Jan-Jun 2007,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,17,-,-,-,-,-,-,-
